question,answer
"saya memiliki masalah sengketa harta waris, bagaimana tindak prosesnya?","masyarakat yang mempunyai permasalahan atau sengketa mengenai sesuatu yang berkaitan dengan wewenang Pengadilan Agama, dapat mengajukan gugatan atau permohonan ke Pengadilan Agama Tingkat I (Pertama) susuai dengan wilayah hukumnya dimana dia berdomisili"
bagaimana jika terjadi sengketa tanah waris yang tempatnya berbeda dengan kota tempat tinggal?,"Pada prinsipnya sama dengan cara mengajukan gugatan cerai. Akan tetapi apabila sengketa berkaitan dengan harta tidak bergerak (mis.tanah), maka gugatan diajukan di pengadilan yang wilayahnya meliputi wilayah tanah sengketa."
bagaimana jika saya merasa keberatan dengan hasil putusan waris?,"Jika putusan telah dijatuhkan Pengadilan Agama Tingkat I, lalu salah satu pihak dalam perkara tersebut merasa dirugikan, yang bersangkutan dapat mengajukan Banding ke Pengadilan Tinggi Agama Medan melalui Pengadilan Agama Tingkat I tempat mereka berperkara."
apakah saya perlu ke pengadilan tinggi agama untuk melakukan banding?,"tidak perlu langsung ke Pengadilan Tinggi Agama, tetapi cukup menyampaikan keberatannya ke Pengadilan Agama Tingkat I dalam tenggat waktu 14 hari setelah putusan tersebut dibacakan."
bagaimana prosedur banding ketika pihak yang bersangkutan datang setelah putusan dibacakan?,prosedur secara lengkap dapat diakses seperti pada link berikut https://www.pta-medan.go.id/index.php/kepaniteraan/prosedur-berperkara/17-transparansi-perkara/4960-proses-pengajuan-perkara-tingkat-banding
"jika permohonan banding telah terdaftar, apakah pihak yang terbanding akan mendapatkan pemberitahuan?",Permohonan Banding yang diajukan pihak tersebut akan diberitahukan kepada pihak Terbanding
apakah memori banding juga akan diberitahukan?,"Jika Memori banding telah diterima oleh Pengadilan Agama Tingkat I, maka memori banding tersebut juga disampaikan kepada Terbanding, agar Terbanding dapat mengajukan Kontra Memori banding (tidak menjadi keharusan);"
"setelah permohonan banding diberitahukan, apa yang selanjutnya harus dilakukan?","Selambat-lambatnya 14 hari setelah permohonan banding diberitahukan kepada Terbanding, kedua belah pihak dipanggil untuk memeriksa berkas banding (Inzage)"
berapa lama pengajuan banding diproses setelah diterima?,Jangka waktu penyelesaian perkara Banding sejak pendaftaran sampai pembacaan putusan diselesaikan dalam waktu paling lama 3 bulan
berapa lama jangka waktu untuk mengajukan kasasi?,"Setelah putusan Banding diserahkan kepada pihak-pihak, para pihak apabila merasa ada kesalahan pada putusan tersebut dapat mengajukan Kasasi dalam tenggat waktu 14 hari setelah putusan diterima."
bagaimana jika hasil banding masih belum sesuai?,"ika pihak beperkara (yang dikalahkan atau yang dimenangkan) berpendapat bahwa putusan Pengadilan Tinggi Agama Medan yang disampaikan kepadanya tidak memenuhi rasa keadilan atau ada kesalahan dalam menerapkan hukum, maka pencari keadilan dapat mengajukan KASASI ke Mahkamah Agung RI melalui Pengadilan Agama yang memutusnya pada tingkat pertama dalam tenggat waktu 14 hari setelah pemberitahuan isi putusan Banding diterimanya"
bagaimana tata cara mengajukan kasasi?,prosedur pengajuan kasasi dapat dilihat seperti pada link berikut https://www.pta-medan.go.id/index.php/kepaniteraan/prosedur-berperkara/17-transparansi-perkara/4961-pengajuan-upaya-hukum-kasasi
apa saja syarat mengajukan peninjauan kembali (PK)?,"Upaya hukum Peninjauan Kembali (PK) adalah upaya hukum luar biasa yang dapat dilakukan dalam tenggang waktu 180 hari setelah Putusan telah berkekuatan Hukum tetap, Ditemukan Bukti Baru (Novum), Ditemukan Bukti adanya Kebohongan dalam putusan yang telah berkekuatan hukum tetap"
bagaimana prosedur peninjauan ulang?,prosedur peninjauan ulang dapat dilihat seperti pada link berikut https://www.pta-medan.go.id/index.php/kepaniteraan/prosedur-berperkara/17-transparansi-perkara/4962-proses-pengajuan-upaya-hukum-peninjauan-kembali
apa itu gugatan sederhana?,Gugatan Sederhana atau Small Claim Court adalah tata cara pemeriksaan di persidangan terhadap gugatan perdata dengan nilai gugatan materil paling banyak Rp 200 juta yang diselesaikan dengan tata cara dan pembuktiannya sederhana.
apa bedanya gugatan sederhana dengan gugatan biasa?,"Perbedaan gugatan sederhana dengan gugatan pada umumnya adalah nilai kerugian materiil yang lebih khusus ditentukan pada gugatan sederhana, yakni maksimal Rp 200 juta. Sedangkan pada gugatan pada perkara perdata biasa, nilai kerugian materiil tidak dibatasi besarnya. Di samping itu, gugatan sederhana ini diperiksa dan diputus oleh hakim tunggal dalam lingkup kewenangan peradilan agama. Selengkapnya dapat dilihat pada tautan berikut : https://badilag.mahkamahagung.go.id/seputar-ditjen-badilag/seputar-ditjen-badilag/membedah-perma-tata-cara-penyelesaian-perkara-ekonomi-syariah"
berapa lama proses gugatan sederhana?,Penyelesaian gugatan sederhana paling lama 25 (dua puluh lima) hari sejak hari sidang pertama.
bagaimana cara mengambil surat putusan?,"Syarat mengambil Salinan Putusan yaitu Menyerahkan nomor perkara yang dimaksud, Memperlihatkan KTP Asli  bahwa ia pihak berperkara dimaksud dan menyerahkan fotokopinyaMembayar Penerimaan Negara Bukan Pajak (PNBP), biaya salinan @lembar Rp. 200 (Lima ratus rupiah perlembar)"
bagaimana alur pendaftaran perkara?,"pertama pemohon memeriksa kelayakan dan kelengkapan berkas gugatan/permohonan, kemudian jika sudah lengkap maka berkas akan diterima. Selanjutnya jika perkara didaftarkan melalui e-court maka kode billing akan diberikan kepada pemohon untuk dibayar. setelah dibayar maka pemohon akan menerima bukti bayar. setelah dibayar maka identitas pemohon akan diinput pada aplikasi SIPP. pemohon akan menerima surat gugatan/permohonan dengan nomor perkara beserta SKUM yang telah diberi tanda luna"
apa saja syarat berkas pendaftaran perkara?,"secara umum, syarat berkasnya meliputi surat gugatan/permohonan, kartu keluarga, kartu tanda penduduk (KTP), buku nikah dan surat ijin dari atas jika PNS/TNI/POLRI"
apa saja syarat pendaftaran perkara?,"secara umum, syarat berkasnya meliputi surat gugatan/permohonan, kartu keluarga, kartu tanda penduduk (KTP), buku nikah dan surat ijin dari atas jika PNS/TNI/POLRI"
apa saja yang perlu disiapkan untuk melakukan pendaftaran perkara?,"secara umum, syarat berkasnya meliputi surat gugatan/permohonan, kartu keluarga, kartu tanda penduduk (KTP), buku nikah dan surat ijin dari atas jika PNS/TNI/POLRI"
apa saya yang disiapkan untuk medaftar?,"secara umum, syarat berkasnya meliputi surat gugatan/permohonan, kartu keluarga, kartu tanda penduduk (KTP), buku nikah dan surat ijin dari atas jika PNS/TNI/POLRI"
bagaimana jika perkara tidak didaftarkan melalui e-court?,pada saat pendaftaran akan diberikan SKUM rangkap 4 untuk bayar panjar perkara melalui bank yang dituju
bagaimana jika perkara bukan e-court?,pada saat pendaftaran akan diberikan SKUM rangkap 4 untuk bayar panjar perkara melalui bank yang dituju
apa saja perkara yang dapat diajukan?,"perkara yang dapat diajukan meliputi: pernikahan, perceraian, waris, wasiat, hibah, wakaf, zakat, infaq, shadaqah, dan ekonomi syariah."
perkara apa saja yang dapat diajukan selain dari pernikahan dan perceraian?,"perkara yang dapat diajukan kecuali pernikahan dan perceraian meliputi: waris, wasiat, hibah, wakaf, zakat, infaq, shadaqah, dan ekonomi syariah."
bagaimana cara mendaftarkan perkara melalui e-court?,untuk melakukan pendaftaran secara online dapat mengunjungi web: https://ecourt.mahkamahagung.go.id/
bagaimana cara mengakses ecourt?,untuk melakukan pendaftaran secara online dapat mengunjungi web: https://ecourt.mahkamahagung.go.id/
bagaimana acara mendaftarkan perkara secara online?,untuk melakukan pendaftaran secara online dapat mengunjungi web: https://ecourt.mahkamahagung.go.id/
bagaimana cara melakukan pendaftaran perkara online?,untuk melakukan pendaftaran secara online dapat mengunjungi web: https://ecourt.mahkamahagung.go.id/
apa saja layanan secara online?,"layanan e-court meliputi: e-filing, e-payment, e-summons, e-litigation"
apa saja layanan secara online?,"layanan e-court meliputi: pendaftaran perkara secara online, pembayaran biaya perkara secara online, pemanggilan pihak secara online, dan persidangan secara online"
apa itu e-filing?,e-filing adalah layanan e-court untuk melakukan pendaftaran perkara online di pengadilan
apa itu e-payment?,e-payment adalah layanan e-court untuk melakukan pembayaran panjar biaya perkara online
apa itu e-summons?,e-summons adalaha layanan e-court untuk melakukan pemanggilan pihak secara online
apa itu e-litigation?,e-litigation adalah layanan e-court untuk melakukan persidangan secara online
bank apa saja yang tersedia untuk pelayanan pembayaran pada e-court?,"bank yang tersedia antara lain: Bank BRI, Bank BRI Syariah, Bank BNI, Bank BNI Syariah, Bank Mandiri, Bank Mandiri Syariah, dan Bank BTN"
apakah dapat melakukan pembayaran menggunakan Bank BRI?,"iya, selain itu Bank BRI Syariah juga tersedia untuk melakukan pembayaran"
apakah dapat menggunakan Bank BRI Syariah untuk melakukan pembayaran pada e-court?,"iya, selain itu pembayaran melalui Bank BRI juga tersedia"
apakah dapat melakukan pembayaran menggunakan Bank BNI?,"iya, selain itu Bank BNI Syariah juga tersedia untuk melakukan pembayaran pada e-court"
apakah dapat menggunakan Bank BNI Syariah untuk melakukan pembayaran e-court?,"iya, selain itu pembayaran melalui Bank BNI Syariah juga tersedia untuk melakukan pembayaran e-court"
apakah dapat melakukan pembayaran e-court melalui Bank Mandiri?,"iya, selain itu Bank Mandiri Syariah juga tersedia untuk melakukan pembayaran e-court"
apakah dapat menggunakan Bank Mandiri Syariah untuk melakukan pembayaran e-court?,"iya, selain itu pembayaran melalui Bank Mandiri Syariah juga tersedia untuk e-court"
apakah dapat melakukan pembayaran melalui Bank BTN untuk pembayaran e-court?,"iya, pembayaran e-court melalui Bank BTN juga tersedia"
apa e-court?,"Layanan bagi Pengguna Terdaftar untuk Pendaftaran Perkara Secara Online, Mendapatkan Taksiran Panjar Biaya Perkara secara online, Pembayaran secara online dan Pemanggilan yang dilakukan dengan saluran elektronik."
bagaimana pendaftaran dilakukan?,Klik Register Pengguna Terdaftar untuk Advokat yang belum pernah mendaftar.
Dapatkah Non-Advokat Menjadi Pengguna Terdaftar?,"Untuk saat ini belum bisa, untuk kedepannya akan bisa. Pasal perma e court"
apakah pembayaran melalui Bank BCA bisa dilakukan?,"bisa, selama bank yang digunakan merupakan bagian dari ATM bersama"
Apakah bisa pendaftaran dilakukan oleh kuasa yang lebih dari satu orang?,"Kuasa pada E Court bisa lebih dari satu orang, dengan meminta kepada Pihak Pengadilan."
Saya tidak punya email apakah saya bisa melakukan pendaftaran?,"Tidak bisa, syarat pertama untuk menjadi pengguna terdaftar ialah dengan E Court."
Bagaimana jika email aktivasi belum diterima pada email calon pengguna terdaftar?,"Menghubungi call center 021-3843348 ext 592, 5593 atau email ecourt@mahkamahagung.go.id"
Apakah para legal bisa mendaftar?,Untuk sekarang belum bisa.
Bagaimana jika akun belum di validasi oleh Pengadilan Tinggi?,Menghubungi call center Pengadilan Tinggi yang memverifikasi data advokat calon pengguna terdaftar.
Data apa saja yang diperlukan untuk mendaftar sebagai pengguna terdaftar?,"nama lengkap, alamat kantor, telp/fax kantor, nomor handphone, nomor induk KTA, organisasi advokat, tanggal mulai berlaku KTA, tanggal habis berlaku KTA, tanggal penyumpahan KTA, nomor BA sumpah, tempat penyumpahan, nomor KTP, nama bank advokat, nomor rekening, nama akun pada rekening"
Bagaimana jika tidak ada nomor BA Sumpah?,Diisi dengan dash ( - ) tidak boleh kosong.
Dokumen apa saja yang dibutuhkan untuk menjadi pengguna terdaftar?,"Scan KTP PDF atau JPG, Scan Kartu Anggota Advokat PDF atau JPG, Scan Bukti Sumpah PDF atau JPG"
Dokumen yang dibutuhkan untuk mendaftarkan perkara?,"Surat Kuasa Format PDF atau JPG dengan resolusi Maksimal 10 mb, Gugatan Format Word dan PDF maksimal 10 mb"
Apa yang terjadi apabila saya ternyata salah mengunggah dokumen ke aplikasi e-court ? Dapatkah saya menarik kembali dokumen yang telah diunggah?,Klik edit pada bagian dokumen yang di upload dan unggah data yang benar.
Apakah bisa membayar melalui teller?,"Bisa, dengan metode transfer sesuai dengan nominal yang tertera di e-Payment dengan menuliskan Nomor Virtual Account Bank rekanan Pengadilan yang dituju."
Bagaimana jika terlanjur melakukan pembayaran ke rekening Pengadilan yang bukan Nomor Virtual Account Bank Mitra?,"Melakukan konfirmasi manual melalui tombol konfirmasi pembayaran dengan menuliskan tanggal transfer, besaran transfer, bank tujuan dan upload bukti pembayaran."
Apakah diperbolehkan melakukan pembayaran  dengan menitipkan kepada pihak Pengadilan?,Tidak bisa.
Apakah bisa saya menggunakan e-payment tanpa menggunakan e-filling?,Untuk saat ini  belum tersedia.
Saya melakukan pembayaran di luar jam kantor Pengadilan?,Transaksi pembayaran dapat dilakukan selama tidak melewati batas kadaluwarsa nomor virtual account yang tertera saat pendaftaran perkara.
Rekening saya bukan mitra pembayaran pada sistem e-court. Bisa kah saya membayar panjar perkara?,"Bisa, selama bank yang digunakan merupakan bagian dari atm bersama."
Bagaimana saya mendapatkan informasi terkait tambahan panjar perkara?,Untuk saat ini tambah panjar perkara masih dilakukan oleh bagian kasir di Pengadilan.
Bagaimana jika transfer yang dilakukan tidak sama dengan tagihan?,"Transaksi bisa  saja terjadi, namun status pembayaran tidak otomatis menjadi “sudah dibayar”. Hal yang harus dilakukan dengan konfrimasi manual sesuai pertanyaan B.2. poin 2."
Apa yang terjadi jika saya tidak mengambil sisa panjar perkara?,Sesuai aturan SEMA No. 4/5008 selama 6 bulan sisa panjar perkara sejak pemberitahuan kepada pihak maka akan di setorkan ke kas negara.
